"","Site","richness.seeded.nocx","area","source.diversity.trt","species.richness.trt"
"1","Barn N",1.4,1,"Southern","Low"
"2","Barn N",0.4,1,"Southern","High"
"3","Barn South",1.6,1,"High","Low"
"4","Barn South",0.8,1,"High","High"
"5","Duck Lake",6,1,"Midwest","High"
"6","Duck Lake",5.2,1,"Midwest","Low"
"7","Field Lab",5.6,1,"Local","High"
"8","Field Lab",1.2,1,"Local","Low"
"9","No Till",1.4,1,"Southern","High"
"10","No Till",1,1,"Southern","Low"
"11","Pothole",7,1,"High","High"
"12","Pothole",4.4,1,"High","Low"
"13","Reed Canary",2.4,1,"High","High"
"14","Reed Canary",1.8,1,"High","Low"
"15","Soil Pit",1.4,1,"Midwest","High"
"16","Soil Pit",2.4,1,"Midwest","Low"
"17","Spruce Lodge",0.2,1,"High","High"
"18","Succession",6.4,1,"Local","High"
"19","Succession",2.8,1,"Local","Low"
"20","Water Tower",1.6,1,"High","Low"
"21","Water Tower",1.4,1,"High","High"
"22","Wetland",0.4,1,"High","High"
"23","Wetland",3.4,1,"High","Low"
"24","Spruce Lodge",0,1,"High","Low"
"25","Barn N",2.6,5,"Southern","Low"
"26","Barn N",5.8,5,"Southern","High"
"27","Barn South",4.6,5,"High","Low"
"28","Barn South",5.2,5,"High","High"
"29","Duck Lake",16.2,5,"Midwest","High"
"30","Duck Lake",7.4,5,"Midwest","Low"
"31","Field Lab",14.8,5,"Local","High"
"32","Field Lab",3.2,5,"Local","Low"
"33","No Till",3.6,5,"Southern","High"
"34","No Till",2.2,5,"Southern","Low"
"35","Pothole",17.4,5,"High","High"
"36","Pothole",8.8,5,"High","Low"
"37","Reed Canary",13.4,5,"High","High"
"38","Reed Canary",3.2,5,"High","Low"
"39","Soil Pit",6,5,"Midwest","High"
"40","Soil Pit",5.8,5,"Midwest","Low"
"41","Spruce Lodge",3.4,5,"High","High"
"42","Succession",15,5,"Local","High"
"43","Succession",4.8,5,"Local","Low"
"44","Water Tower",3.2,5,"High","Low"
"45","Water Tower",6.8,5,"High","High"
"46","Wetland",3,5,"High","High"
"47","Wetland",4.4,5,"High","Low"
"48","Spruce Lodge",1.8,5,"High","Low"
"49","Barn N",4,25,"Southern","Low"
"50","Barn N",10,25,"Southern","High"
"51","Barn South",7,25,"High","Low"
"52","Barn South",13,25,"High","High"
"53","Duck Lake",29,25,"Midwest","High"
"54","Duck Lake",9,25,"Midwest","Low"
"55","Field Lab",30,25,"Local","High"
"56","Field Lab",5,25,"Local","Low"
"57","No Till",8,25,"Southern","High"
"58","No Till",4,25,"Southern","Low"
"59","Pothole",27,25,"High","High"
"60","Pothole",10,25,"High","Low"
"61","Reed Canary",26,25,"High","High"
"62","Reed Canary",5,25,"High","Low"
"63","Soil Pit",12,25,"Midwest","High"
"64","Soil Pit",9,25,"Midwest","Low"
"65","Spruce Lodge",10,25,"High","High"
"66","Succession",28,25,"Local","High"
"67","Succession",8,25,"Local","Low"
"68","Water Tower",4,25,"High","Low"
"69","Water Tower",14,25,"High","High"
"70","Wetland",6,25,"High","High"
"71","Wetland",7,25,"High","Low"
"72","Spruce Lodge",4,25,"High","Low"
"73","Barn N",8,2752,"Southern","Low"
"74","Barn N",30,2752,"Southern","High"
"75","Barn South",0,1538,"High","Low"
"76","Barn South",21,1376,"High","High"
"77","Duck Lake",42,4047,"Midwest","High"
"78","Duck Lake",11,1619,"Midwest","Low"
"79","Field Lab",42,5706,"Local","High"
"80","Field Lab",0,5908,"Local","Low"
"81","No Till",22,10927,"Southern","High"
"82","No Till",7,10643,"Southern","Low"
"83","Pothole",37,5180,"High","High"
"84","Pothole",11,4452,"High","Low"
"85","Reed Canary",35,2428,"High","High"
"86","Reed Canary",6,2428,"High","Low"
"87","Soil Pit",32,2833,"Midwest","High"
"88","Soil Pit",0,4087,"Midwest","Low"
"89","Spruce Lodge",20,2023,"High","High"
"90","Succession",33,2509,"Local","High"
"91","Succession",10,2266,"Local","Low"
"92","Water Tower",5,890,"High","Low"
"93","Water Tower",23,809,"High","High"
"94","Wetland",15,4856,"High","High"
"95","Wetland",0,2833,"High","Low"
"96","Spruce Lodge",5,2469,"High","Low"
